Partial, Frequency, Amplitude, Duration;
0, 1260.729126 , 18.612499,  25.287500
1, 23.307119 , 19.337500 , 27.275002
2, 258.078552 , 19.562500 , 29.887501
3, 1261.754883 , 19.650000 , 29.475000
4, 589.536194 , 19.687500 , 29.525002
5, 325.653595 , 19.687500 , 29.862501
6, 1399.018188 , 19.700001 , 28.412500
7, 655.190857 , 19.787500 , 29.500000
8, 921.338745 , 19.799999 , 29.400002
9, 2587.510742 , 19.850000 , 23.612501
10, 1051.948120 , 19.850000 , 25.200001
11, 1894.088379 , 19.862499 , 23.812500
12, 1558.863159 , 19.862499 , 24.737501
13, 1123.956299 , 19.862499 , 27.075001
14, 456.965057 , 19.862499 , 29.725000
15, 392.070221 , 19.862499 , 29.900000
16, 1818.798950 , 19.875000 , 27.050001
17, 988.133118 , 19.875000 , 26.575001
18, 787.697205 , 19.875000 , 27.425001
19, 3194.927979 , 19.887501 , 21.912500
20, 2036.231323 , 19.887501 , 22.662500
21, 1967.696289 , 19.887501 , 24.812500
22, 1744.855225 , 19.887501 , 24.375000
23, 1468.734253 , 19.887501 , 28.225000
24, 1188.905396 , 19.887501 , 22.700001
25, 721.524048 , 19.887501 , 29.537500
26, 521.374512 , 19.887501 , 24.075001
27, 2178.661133 , 19.900000 , 21.375000
28, 64.553658 , 19.987499 , 29.837502
29, 854.480286 , 21.034904 , 28.747404
30, 522.431885 , 24.412500 , 28.725000
31, 195.401291 , 19.225000 , 28.100000 
