20:51:56.1941, 785
20:52:1.59, 785
20:52:7.088, 785
20:52:12.585, 785
20:52:17.9871, 785
20:52:23.3726, 785
20:52:28.7375, 784
20:52:34.1103, 783
20:52:39.4696, 783
20:52:44.8282, 783
20:52:50.2076, 783
20:52:55.5765, 781
20:53:0.9481, 780
20:53:6.3164, 780
20:53:11.6995, 780
20:53:17.0717, 780
20:53:22.4712, 781
20:53:27.8926, 781
20:53:33.3059, 781
20:53:38.7232, 780
20:53:44.121, 781
20:53:49.5196, 782
20:53:54.917, 781
20:54:0.3072, 781
20:54:5.6971, 781
20:54:11.0936, 781
20:54:16.5079, 782
20:54:21.9115, 781
20:54:27.3078, 780
20:54:32.7024, 780
20:54:38.1062, 779
20:54:43.5186, 780
20:54:48.9616, 781
20:54:54.3775, 780
20:54:59.791, 780
20:55:5.2066, 779
20:55:10.6253, 778
20:55:16.0312, 778
20:55:21.4531, 779
20:55:26.8762, 778
20:55:32.2893, 778
20:55:37.7406, 779
20:55:43.1345, 778
20:55:48.5189, 779
20:55:53.9342, 779
20:55:59.3667, 778
20:56:4.7615, 778
20:56:10.1802, 778
20:56:15.5817, 778
20:56:20.975, 777
20:56:26.371, 776
20:56:31.7644, 776
20:56:37.1583, 776
20:56:42.6221, 778
20:56:48.0177, 778
20:56:53.4167, 778
20:56:58.9413, 778
20:57:4.3375, 777
20:57:9.7983, 776
20:57:15.293, 775
20:57:20.7026, 775
20:57:26.0885, 774
20:57:31.474, 774
20:57:36.8574, 774
20:57:42.2538, 774
20:57:47.6481, 774
20:57:53.0404, 774
20:57:58.4451, 773
20:58:3.8829, 773
20:58:9.3875, 773
20:58:14.8531, 773
20:58:20.3638, 772
20:58:25.8339, 773
20:58:31.2282, 772
20:58:36.6298, 771
20:58:42.0934, 770
20:58:47.6027, 771
20:58:53.0369, 770
20:58:58.5633, 770
20:59:3.9646, 770
20:59:9.4298, 770
20:59:14.8279, 770
20:59:20.3234, 770
20:59:25.7251, 771
20:59:31.1141, 771
20:59:36.5472, 769
20:59:41.9482, 769
20:59:47.3432, 769
20:59:52.7744, 767
20:59:58.2045, 767
21:0:3.7364, 766
21:0:9.1717, 766
21:0:14.6138, 765
21:0:20.0501, 764
21:0:25.4517, 764
21:0:30.8497, 764
21:0:36.2488, 763
21:0:41.7147, 763
21:0:47.1812, 763
21:0:52.646, 762
21:0:58.1217, 763
21:1:3.6194, 764
21:1:9.0517, 764
21:1:14.4469, 763
21:1:19.8447, 764
21:1:25.274, 764
21:1:30.6816, 764
21:1:36.0832, 764
21:1:41.4865, 764
21:1:46.9554, 763
21:1:52.3695, 763
21:1:57.8109, 763
21:2:3.3169, 763
21:2:8.7205, 764
21:2:14.1571, 763
21:2:19.5536, 763
21:2:24.9472, 762
21:2:30.382, 761
21:2:35.8807, 761
21:2:41.2825, 759
21:2:46.675, 759
21:2:52.0971, 758
21:2:57.5469, 758
21:3:2.8685, 758
21:3:8.247, 757
21:3:13.714, 757
21:3:19.1127, 757
21:3:24.52, 758
21:3:29.9033, 758
21:3:35.2921, 758
21:3:40.6823, 757
21:3:46.0679, 757
21:3:51.4536, 757
21:3:56.8408, 757
21:4:2.2296, 758
21:4:7.6128, 758
21:4:12.9974, 758
21:4:18.3817, 757
21:4:23.7642, 757
21:4:29.1616, 757
21:4:34.5618, 757
21:4:40.0557, 757
21:4:45.5283, 757
21:4:50.9988, 758
21:4:56.4298, 757
21:5:1.8339, 757
21:5:7.3947, 756
21:5:12.8878, 755
21:5:18.2829, 754
21:5:23.6833, 754
