20:30:30.3624, 42.14
20:30:36.0477, 42.31
20:30:41.7142, 42.49
20:30:47.3714, 42.76
20:30:53.0392, 42.87
20:30:58.6407, 42.99
20:31:4.3317, 43.15
20:31:9.9189, 43.16
20:31:15.4656, 43.19
20:31:21.0473, 43.3
20:31:26.7097, 43.39
20:31:32.5294, 43.44
20:31:38.2475, 43.45
20:31:43.9988, 43.39
20:31:49.754, 43.42
20:31:55.3772, 43.46
20:32:1.1807, 43.46
20:32:6.9088, 43.54
20:32:12.6457, 43.71
20:32:17.6569, 43.72
20:32:22.6944, 43.64
20:32:27.7105, 43.61
20:32:32.7369, 43.55
20:32:38.4668, 43.55
20:32:43.4625, 43.48
20:32:49.2723, 43.39
20:32:55.0057, 43.34
20:33:0.78, 43.36
20:33:5.7997, 43.29
20:33:11.6081, 43.35
20:33:17.3522, 43.2
20:33:22.3585, 43.19
20:33:27.3856, 43.16
20:33:32.39, 43.11
20:33:37.3839, 43.09
20:33:42.4071, 43.01
20:33:48.0943, 42.95
20:33:53.1131, 42.91
20:33:58.9074, 42.85
20:34:3.9257, 42.84
20:34:9.6333, 42.79
20:34:14.6373, 42.78
20:34:19.6503, 42.7
20:34:25.4793, 42.65
20:34:31.2053, 42.63
20:34:36.8216, 42.62
20:34:42.478, 42.59
20:34:48.3172, 42.56
20:34:54.1003, 42.45
20:34:59.8461, 42.47
20:35:5.598, 42.5
20:35:11.4073, 42.5
20:35:17.1901, 42.45
20:35:22.8436, 42.37
20:35:28.6693, 42.34
20:35:33.6883, 42.37
20:35:38.7276, 42.26
20:35:44.5537, 42.25
20:35:49.5754, 42.27
20:35:54.5885, 42.2
20:35:59.6273, 42.25
20:36:4.6441, 42.18
20:36:10.472, 42.15
20:36:16.295, 42.08
20:36:22.1205, 42.12
20:36:27.1234, 42.13
20:36:32.1571, 42.05
20:36:37.1864, 42.04
20:36:42.1925, 42.02
20:36:47.2177, 42.02
20:36:53.0325, 42.04
20:36:58.0559, 41.96
20:37:3.0588, 41.92
20:37:8.0948, 41.9
20:37:13.9071, 41.93
20:37:19.6839, 41.84
20:37:24.7153, 41.88
20:37:29.7542, 41.83
20:37:34.7923, 41.83
20:37:39.8314, 41.79
20:37:44.8698, 41.84
20:37:49.9084, 41.74
20:37:54.9472, 41.81
20:37:59.9859, 41.76
20:38:5.0248, 41.78
20:38:10.063, 41.72
20:38:15.1015, 41.73
20:38:20.1411, 41.64
20:38:25.1799, 41.68
20:38:30.2203, 41.66
20:38:35.2538, 41.63
20:38:40.98, 41.64
20:38:46.7979, 41.59
20:38:51.8375, 41.58
20:38:57.5697, 41.56
20:39:3.2676, 41.54
20:39:8.9952, 41.55
